,Rent,Neighborhood,Title,Posting Date,Url,Bed/Bath
81,2200,Quincy,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:58:46 PM,https://boston.craigslist.org/gbs/apa/d/quincy-one-bedroom-one-bathroom-luxury/6992241221.html,1BR / 1Ba
82,2760,Quincy,Two Bedroom two bathroom luxurious apartment,Fri 11 Oct 03:58:45 PM,https://boston.craigslist.org/gbs/apa/d/quincy-two-bedroom-two-bathroom/6992418476.html,2BR / 2Ba
83,2875,East Boston,Amazing one bedroom one bathroom apartment available with a deck,Fri 11 Oct 03:58:45 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-amazing-one-bedroom-one/6996053545.html,1BR / 1Ba
84,3525,Cambridge,2 bed 2 bath in CAMBRIDGE,Fri 11 Oct 03:58:44 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-2-bed-2-bath-in-cambridge/6990854452.html,2BR / 2Ba
85,3000,Brighton,4 bed 1 bath in Brighton,Fri 11 Oct 03:58:43 PM,https://boston.craigslist.org/gbs/apa/d/4-bed-1-bath-in-brighton/6983923203.html,4BR / 1Ba
86,3900,Somerville,4 bed 1 bath in Somerville,Fri 11 Oct 03:58:42 PM,https://boston.craigslist.org/gbs/apa/d/4-bed-1-bath-in-somerville/6984434742.html,4BR / 1Ba
87,3200,Boston,2 bed 2 bath in Boston,Fri 11 Oct 03:58:41 PM,https://boston.craigslist.org/gbs/apa/d/2-bed-2-bath-in-boston/6983936992.html,2BR / 2Ba
88,2600,Boston,4 bed 1 bath in Boston,Fri 11 Oct 03:58:40 PM,https://boston.craigslist.org/gbs/apa/d/4-bed-1-bath-in-boston/6987486634.html,4BR / 1Ba
89,1985,Boston,1 bed 1 bath in Boston,Fri 11 Oct 03:58:39 PM,https://boston.craigslist.org/gbs/apa/d/1-bed-1-bath-in-boston/6984461257.html,1BR / 1Ba
90,2000,Somerville,2 bed 1 bath in Somerville,Fri 11 Oct 03:58:38 PM,https://boston.craigslist.org/gbs/apa/d/2-bed-1-bath-in-somerville/6984465553.html,2BR / 1Ba
91,2702,East Boston,Beautiful One bedroom One bathroom apartment available,Fri 11 Oct 03:58:38 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-beautiful-one-bedroom-one/6996131618.html,1BR / 1Ba
92,2950,Boston,"➡3 Bd on Strathmore Rd., NO FEE! 2 MONTH FREE!",Fri 11 Oct 03:58:38 PM,https://boston.craigslist.org/gbs/apa/d/brighton-3-bd-on-strathmore-rd-no-fee-2/6997563141.html,3BR / 1Ba
93,3250,Somerville,4 bed 1 bath in Somerville,Fri 11 Oct 03:58:37 PM,https://boston.craigslist.org/gbs/apa/d/4-bed-1-bath-in-somerville/6983918323.html,4BR / 1Ba
94,5500,South,4 bed 2 bath in South Boston,Fri 11 Oct 03:58:35 PM,https://boston.craigslist.org/gbs/apa/d/4-bed-2-bath-in-south-boston/6983915041.html,4BR / 2Ba
95,2875,East Boston,Beautiful studio available for rent,Fri 11 Oct 03:58:31 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-beautiful-studio-available/6996055559.html,1BR / 1Ba
96,2875,East Boston,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:58:30 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-one-bedroom-one-bathroom/6996057778.html,1BR / 1Ba
97,2750,East Boston,Amazing one bedroom one bathroom apartment available,Fri 11 Oct 03:58:30 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-amazing-one-bedroom-one/6996106393.html,1BR / 1Ba
98,2702,East Boston,Beautiful one bedroom one bathroom apartment available for rent,Fri 11 Oct 03:58:29 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-beautiful-one-bedroom-one/6996127328.html,1BR / 1Ba
99,1994,Swampscott,"1 bed- Custom Color Accent Walls, Dry Bars, Built-in Desks",Fri 11 Oct 03:58:26 PM,https://boston.craigslist.org/nos/apa/d/swampscott-1-bed-custom-color-accent/6985752700.html,1BR / 1Ba
100,2805,Quincy,Corner Unit 2 Bed Ready For Move-In! Schedule A Tour Today!,Fri 11 Oct 03:58:25 PM,https://boston.craigslist.org/sob/apa/d/quincy-corner-unit-2-bed-ready-for-move/6997562976.html,2BR / 2Ba
101,2750,East Boston,Beautiful One bedroom Apartment available for rent,Fri 11 Oct 03:58:22 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-beautiful-one-bedroom/6996111851.html,1BR / 1Ba
102,2750,East Boston,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:58:21 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-one-bedroom-one-bathroom/6996113677.html,1BR / 1Ba
103,2750,East Boston,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:58:21 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-one-bedroom-one-bathroom/6996116881.html,1BR / 1Ba
104,2790,East Boston,Beautiful One bedroom one bathroom apartment available for rent,Fri 11 Oct 03:58:20 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-beautiful-one-bedroom-one/6996119564.html,1BR / 1Ba
105,2790,East Boston,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:58:19 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-one-bedroom-one-bathroom/6996121808.html,1BR / 1Ba
106,2790,East Boston,Amazing one bedroom one bathroom apartment available for rent,Fri 11 Oct 03:58:18 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-amazing-one-bedroom-one/6996124703.html,1BR / 1Ba
107,2900,Boston,"Great 2 Bd on Hemenway St., Laundry in Building, Inc HT/HW, Student OK",Fri 11 Oct 03:58:10 PM,https://boston.craigslist.org/gbs/apa/d/boston-great-2-bd-on-hemenway-st/6997562762.html,2BR / 1Ba
108,2750,East Boston,Incredible One bedroom one bathroom apartment available for rent,Fri 11 Oct 03:58:07 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-incredible-one-bedroom-one/6996109908.html,1BR / 1Ba
109,1995,Weymouth,2 Bed 2 Bath with Heat & Hot Water and Ample Closet Space,Fri 11 Oct 03:57:59 PM,https://boston.craigslist.org/sob/apa/d/east-weymouth-2-bed-2-bath-with-heat/6997562601.html,2BR / 2Ba
110,3425,Boston,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:57:58 PM,https://boston.craigslist.org/gbs/apa/d/boston-one-bedroom-one-bathroom-luxury/6991073568.html,1BR / 1Ba
111,4400,Boston,Wonderful Two bedroom one Bathroom Apartment available,Fri 11 Oct 03:57:58 PM,https://boston.craigslist.org/gbs/apa/d/boston-wonderful-two-bedroom-one/6991106936.html,2BR / 1Ba
112,2652,East Boston,Beautiful One Bedroom One bathroom Apartment available for rent,Fri 11 Oct 03:57:57 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-beautiful-one-bedroom-one/6996019925.html,1BR / 1Ba
113,2627,East Boston,Beautiful One bedroom One bathroom Apartment available with a deck,Fri 11 Oct 03:57:56 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-beautiful-one-bedroom-one/6996022044.html,1BR / 1Ba
114,2627,East Boston,One Bedroom One bathroom apartment with deck available for rent,Fri 11 Oct 03:57:56 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-one-bedroom-one-bathroom/6996025673.html,1BR / 1Ba
115,2627,East Boston,One Bedroom One Bathroom Luxury Apartment With deck,Fri 11 Oct 03:57:55 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-one-bedroom-one-bathroom/6996028571.html,1BR / 1Ba
116,2750,Boston,"2 Bd on Commonwealth Ave., Furnished, New Appliances, Disposal",Fri 11 Oct 03:57:48 PM,https://boston.craigslist.org/gbs/apa/d/allston-2-bd-on-commonwealth-ave/6997562455.html,2BR / 1Ba
117,3275,Boston,Studio Luxury Apartment,Fri 11 Oct 03:57:44 PM,https://boston.craigslist.org/gbs/apa/d/boston-studio-luxury-apartment/6986882922.html,1BR / 1Ba
118,3580,Boston,One Bedroom One Bathroom Luxury Apartment Available,Fri 11 Oct 03:57:43 PM,https://boston.craigslist.org/gbs/apa/d/boston-one-bedroom-one-bathroom-luxury/6989791719.html,1BR / 1Ba
119,3540,Boston,Luxury Studio Apartment Available for rent,Fri 11 Oct 03:57:42 PM,https://boston.craigslist.org/gbs/apa/d/boston-luxury-studio-apartment/6989754992.html,1BR / 1Ba
